[189,     4] loss: 0.7296060771
[190,     4] loss: 0.7276458293
[191,     4] loss: 0.7248295248
[192,     4] loss: 0.7238631099
[193,     4] loss: 0.7195442319
[194,     4] loss: 0.7184042633
[195,     4] loss: 0.7191897631
[196,     4] loss: 0.7149920911
[197,     4] loss: 0.7144601047
[198,     4] loss: 0.7081553936
[199,     4] loss: 0.7131566554
[200,     4] loss: 0.7073944509
